id,group_id,pos_x,pos_y,vel_x,vel_y,speed,heading,frame,time
0,0,692.5706314441725,354.7263879363673,-0.9052969666809455,0.007107312849504971,0.9053248653260672,3.1337420066791224,0,0.0
0,0,691.6824936744694,354.33142720279363,-0.8881377697031401,-0.39496073357367933,0.971999320492729,-2.723149426572051,1,0.03333333333333333
0,0,690.9676573056922,353.44141902920273,-0.7148363687771613,-0.8900081735908816,1.1415365010305603,-2.247473017272178,2,0.06666666666666667
0,0,690.2949168061785,352.2037892877209,-0.6727404995136782,-1.2376297414818425,1.4086543780098528,-2.068690787927664,3,0.1
0,0,689.7875695231193,350.6814371782148,-0.50734728305925,-1.5223521095060737,1.6046673209563393,-1.8924857389664251,4,0.13333333333333333
0,0,689.2823057273783,349.1138498806262,-0.5052637957409236,-1.567587297588616,1.6470037762093037,-1.8826018068320534,5,0.16666666666666666
0,0,688.8549880865986,347.5232458844266,-0.4273176407797501,-1.5906039961995992,1.6470037762093037,-1.8332505630637976,6,0.2
0,0,688.4484860247723,345.92719528604994,-0.4065020618263854,-1.5960505983766944,1.647003776209304,-1.820186528486524,7,0.23333333333333334
0,0,688.0822404185116,344.3214289285924,-0.3662456062606874,-1.6057663574575374,1.6470037762093037,-1.7950418465326612,8,0.26666666666666666
0,0,687.6545012661669,342.73093823185786,-0.42773915234462456,-1.590490696734567,1.647003776209304,-1.8335155734473891,9,0.3
0,0,687.3578251062655,341.1108750556225,-0.29667615990143376,-1.620063176235373,1.647003776209304,-1.7519157836941743,10,0.3333333333333333
0,0,686.9330428046776,339.51959210306336,-0.42478230158789176,-1.5912829525591607,1.647003776209304,-1.8316569560651024,11,0.36666666666666664
0,0,686.547421292672,337.918368355948,-0.3856215120056562,-1.6012237471153674,1.647003776209304,-1.807125245207835,12,0.4
0,0,686.2858502206385,336.2922681090005,-0.2615710720335071,-1.6261002469475698,1.6470037762093035,-1.7302879634787116,13,0.43333333333333335
0,0,686.1591499881667,334.6501449437235,-0.12670023247177253,-1.6421231652769852,1.6470037762093037,-1.6478001164942637,14,0.4666666666666667
0,0,685.9404356051298,333.01772788380885,-0.21871438303697574,-1.632417059914672,1.647003776209304,-1.7039850691906944,15,0.5
0,0,685.7374038908838,331.38328621710485,-0.20303171424601207,-1.634441666703964,1.647003776209304,-1.6943840734726283,16,0.5333333333333333
0,0,685.6843313278058,329.7371377602833,-0.05307256307795787,-1.6461484568215718,1.6470037762093037,-1.6030256106253198,17,0.5666666666666667
0,0,685.442929885664,328.10792114405956,-0.24140144214183795,-1.6292166162237443,1.647003776209304,-1.7178963145876367,18,0.6
0,0,685.0525286183781,326.50785605496185,-0.39040126728584723,-1.6000650890977248,1.6470037762093035,-1.81011138733556,19,0.6333333333333333
0,0,684.9268294437436,324.86565595864477,-0.1256991746345267,-1.642200096317104,1.647003776209304,-1.6471905188837288,20,0.6666666666666666
0,0,684.5693232464882,323.25792129217405,-0.3575061972553537,-1.6077346664707215,1.6470037762093037,-1.7896026776048872,21,0.7
0,0,684.3419368711066,321.62668958725334,-0.2273863753816872,-1.6312317049206972,1.6470037762093037,-1.7092993493478692,22,0.7333333333333333
0,0,683.9305582533343,320.031888950281,-0.41137861777229584,-1.594800636972365,1.6470037762093035,-1.823243112319202,23,0.7666666666666667
0,0,683.5719044582061,318.4244099009345,-0.3586537951282703,-1.6074790493464588,1.6470037762093037,-1.7903165323751238,24,0.8
0,0,683.0447787005797,316.86403819057364,-0.5271257576263196,-1.5603717103608947,1.6470037762093035,-1.896579998912927,25,0.8333333333333334
