id,group_id,pos_x,pos_y,vel_x,vel_y,speed,heading,frame,time
0,0,695.8139630025282,378.17608139539095,-0.4713499421979479,0.21454333724115637,0.5178799200244989,2.7144494650070587,0,0.0
1,0,665.5057770094886,349.31050051704347,0.335940597273783,-0.7868479939885265,0.8555617163831224,-1.1672796369676457,0,0.0
0,0,695.360815185621,377.9647592336751,-0.4531478169071901,-0.21132216171582127,0.5,-2.7052315845040917,1,0.03333333333333333
1,0,665.569758298049,348.7320095389219,0.06398128856037782,-0.5784909781215619,0.5820183992399963,-1.4606436936610383,1,0.03333333333333333
0,0,695.0123998950002,377.3453560927138,-0.34841529062088805,-0.619403140961303,0.7106711375672756,-2.083187042743116,2,0.06666666666666667
1,0,665.7602963688407,348.2697377102551,0.1905380707916985,-0.4622718286668329,0.5,-1.1798363385953516,2,0.06666666666666667
0,0,694.9117101051777,376.37615010638916,-0.10068978982245076,-0.9692059863246342,0.9744222276313262,-1.6743139213205116,3,0.1
1,0,666.2943865151898,348.0646675465508,0.534090146349034,-0.20507016370425588,0.5721066827688895,-0.3666042673806328,3,0.1
0,0,695.3573876398234,375.4823551279278,0.44567753464570353,-0.8937949784613491,0.9987481806794923,-1.1082412462119269,4,0.13333333333333333
1,0,667.144345558362,347.88449930329915,0.8499590431722873,-0.18016824325169106,0.8688446184138742,-0.20888096738634396,4,0.13333333333333333
0,0,695.9089908264332,374.96584597389847,0.5516031866098247,-0.5165091540293345,0.7556770352963043,-0.7525538537453942,5,0.16666666666666666
1,0,668.289979413974,347.9437992935562,1.1456338556119783,0.05929999025704068,1.147167564032758,0.05171557612496032,5,0.16666666666666666
0,0,696.2823122480721,374.54307886263683,0.37332142163897486,-0.42276711126162314,0.5640043565603398,-0.8474292708745174,6,0.2
1,0,669.2746556905323,347.4474285631225,0.9846762765583071,-0.49637073043367047,1.1027108740045994,-0.46691851762226605,6,0.2
0,0,696.5323274595006,373.74042811325774,0.25001521142853084,-0.8026507493791077,0.8406877133778607,-1.2688346708646778,7,0.23333333333333334
1,0,670.0084070603764,347.1193030820775,0.7337513698441167,-0.32812548104496553,0.8037769616374356,-0.42051377037906484,7,0.23333333333333334
